word,lablel,lime_score
This,0,-0.0780837658174123
picture,1,0.06953868563591943
lol,0,-0.026036762371876958
closeup,1,0.0568819212212093
There,0,-0.02954064799787909
Sister,1,0.07378530032557361
people,0,-0.14676692931113555
2,1,0.30934409250436595
boy,0,-0.03695660561228266
girl,1,0.10128943907463162
outdoor,0,-0.23921311249688493
smiling,1,0.056413804735575133
people,0,-0.09301468762516797
sisters,1,0.10398727741103624
smile,0,-0.10940342645787485
pic,1,0.07433597523131237
people,0,-0.2482336649282578
crazy,1,0.008424732625542925
selfie,0,-0.062119696437824744
1,1,0.007395715622743244
that,0,-0.06278646572399789
You,1,0.12611915287430744
indoor,0,-0.040575919857359165
look,1,0.10129688764149437
U0001f602,0,-0.08595464170740388
U0001f61b,1,0.15588444563317394
like,0,-0.01771605356956835
Girl,1,0.06742325277802452
people,0,-0.09762679989926991
girl,1,0.09762345903114489
that,0,-0.14533322940887403
smiling,1,0.04486503333263911
people,0,-0.15830458739775463
2,1,0.289687519792506
Hahah,0,-0.14662086255039533
closeup,1,0.10139968569703318
man,0,-0.2655394861782456
U0001f600,1,0.08575042746105348
selfie,0,-0.07972990800230051
and,1,0.018277639622166015
people,0,-0.20165327967518965
2,1,0.05976798026245914
smiling,0,-0.062192897213931744
gorgeous,1,0.10040712928316174
people,0,-0.10365635336429745
closeup,1,0.09974893368137112
people,0,-0.28648281424082545
as,1,0.008704652648765689
buddy,0,-0.30680080875473326
you,1,0.013993068226123008
man,0,-0.21708417478234954
closeup,1,0.12923050772817274
guys,0,-0.029156363698136064
girls,1,0.05665397947272622
Seen,0,-0.021229051819265935
beauty,1,0.11223910561136655
amazing,0,-0.031728881488725366
you,1,0.07513505403434959
suit,0,-0.3444504840928078
2,1,0.03954165391399835
That,0,-0.1291651029039317
mom,1,0.07302320364992788
outdoor,0,-0.5929709469828993
tree,1,5.473459417751039e-05
people,0,-0.16950749994151595
closeup,1,0.10614396859152969
That,0,-0.0678820824800417
s,1,0.07494767797462107
people,0,-0.17748310118277547
looking,1,0.11337131346994456
baby,0,-0.05808216034510161
2,1,0.1421271596038021
smiling,0,-0.10895707453642578
Gorgeous,1,0.14056780768918026
nice,0,-0.1853463201375562
Look,1,0.1087253974618551
smiling,0,-0.020945355899824554
girl,1,0.0814578927821649
people,0,-0.13896032102911515
3,1,0.24234992516922438
bro,0,-0.4340596968134643
looking,1,0.0640638583543245
Love,0,-0.09757878511853106
2,1,0.1777526963917134
to,0,-7.86588720961993e-32
buy,1,6.042142794889522e-32
outdoor,0,-0.27840947934575394
flower,1,0.10116067616006987
people,0,-0.13193416207880068
picture,1,0.08947913557797259
game,0,-0.07684187907294107
people,1,0.16318192648193225
there,0,-0.09046143212615551
Cute,1,0.0713263145239013
smiling,0,-0.0049617783707316026
closeup,1,0.10853750253009067
well,0,-0.06260877371521172
Beauty,1,0.13920754495880885
of,0,-0.003533562114622907
pretty,1,0.039155803389247394
people,0,-0.08563807719040667
closeup,1,0.10619430437098623
That,0,-0.1662007057091552
Beautiful,1,0.1373233769858916
amazing,0,-0.0952808202207287
pic,1,0.04799278004486338
smiling,0,-0.1854332557460217
smiling,0,-0.0077776867459497835
Beautiful,1,0.07773871779883135
U0001f602,0,-0.04493181848352724
gorgeous,1,0.20528799116024246
It,0,-0.13654751799512432
s,1,0.25296479050007703
guy,0,-0.022354668122418875
love,1,0.10058496636304148
people,0,-0.07457910634027073
closeup,1,0.1332206016737063
indoor,0,-0.04487682318311061
look,1,0.07093136932246853
it,0,-0.09912636041967622
love,1,0.08149735800400632
well,0,-0.037301204225040435
closeup,1,0.12116578031525525
car,0,-0.2180660501010108
outdoor,1,0.11806946918711508
lol,0,-0.06891021071613902
cutie,1,0.060786996686209176
guys,0,-0.24442577446362698
2,1,0.08198336928709055
standing,0,-0.04173232206176565
beautiful,1,0.09303583256033345
people,0,-0.1361417693574335
pic,1,0.09547659560283672
outdoor,0,-0.21593709961353585
girls,1,0.06998082146301136
hat,0,-0.264765354321493
closeup,1,0.1503659173194573
beautifull,0,-0.10023432021283449
1,1,0.03501880120368884
nice,0,-0.11193271408279137
looking,1,0.11534604575047236
love,0,-0.18581511707188236
1,1,0.056957946941635106
outdoor,0,-0.3497265448176229
person,1,0.06836705518519294
people,0,-0.2136858185231537
closeup,1,0.1403319127827859
pretty,0,-0.19614189654416164
person,1,0.030769760425871286
people,0,-0.04030272333214971
love,1,0.03276350685475078
people,0,-0.10989673371517827
cute,1,0.1567970031006945
outdoor,0,-0.18709123031043148
smiling,1,0.03172553685509033
beard,0,-0.22140016327325288
closeup,1,0.04100064938298767
son,0,-0.25332081309190885
cute,1,0.048379889457313544
man,0,-0.31963704511057334
smiling,1,0.07354542478208717
there,0,-0.0864587385820383
1,1,0.0650589150701033
people,0,-0.060176065486796874
closeup,1,0.13191854306093367
people,0,-0.2698465663841939
Go,1,0.008512378423888039
beautiful,0,-0.14665684315532973
all,1,0.0001407810177759696
people,0,-0.11459250555633711
looking,1,0.04962798691996246
people,0,-0.05960051327776795
beautiful,1,0.10285449419939256
outdoor,0,-0.3245123089406653
picture,1,0.06920494407668204
closeup,0,-0.029687035352201217
person,1,0.01931585644482755
love,0,-0.09927971212013871
picture,1,0.058616676463056024
selfie,0,-0.07405090060177115
closeup,1,0.04983839618448712
outdoor,0,-0.435402221838743
1,1,0.059760596513147954
people,0,-0.10785763362979509
cuteness,1,0.10420112392709602
sweet,0,-0.11175305581803564
1,1,0.056518977015460284
indoor,0,-0.029680575319171683
gorgeous,1,0.0753099135359271
baby,0,-0.032625307894771936
closeup,1,0.0498933212591694
This,0,-0.10177855114926629
says,1,0.33391549889568256
people,0,-0.12276158760102228
2,1,0.20603182710574972
man,0,-0.16524303309733282
girl,1,0.20783456508728962
outdoor,0,-0.44162575728397396
looking,1,0.10673390152011704
U0001f602,0,-0.1989188426890499
closeup,1,0.02633635195383063
nice,0,-0.18628894143471944
closeup,1,0.09582264081061084
closeup,0,-0.05585479088337382
life,0,-0.08162897265565967
closeup,1,0.07685783345352305
1,0,-0.016598196644176222
t,1,0.0007982478451682329
man,0,-0.3355325274606141
u,1,0.011045081584413823
smiling,0,-0.18579235877810807
play,0,-0.1767883583708523
smiling,1,0.027446978484748905
It,0,-0.061582177132188255
beautiful,1,0.14532154945719886
Miss,0,-0.026796658971059623
1,1,0.02416349439241045
like,0,-0.1690373387713898
one,1,0.07251543603004125
smiling,0,-0.1199711600972477
Gorgeous,1,0.12700551828841794
outdoor,0,-0.1743991390231562
closeup,1,0.16316428463541488
This,0,-0.15230662759892188
purdy,1,0.0001462044428754643
smiling,0,-0.03194831974934766
girl,1,0.07678838059924933
This,0,-0.15295398295571627
picture,1,0.02395501907042056
like,0,-0.05772423824023571
lol,1,0.1523098100435517
man,0,-0.3043715854086116
closeup,1,0.1587767125603455
Travis,0,-0.0069571950326474345
sis,1,0.033902757430991935
1,0,-0.0168786696174672
Just,1,0.0022462746758075127
people,0,-0.1257634713919565
2,1,0.06122592507723357
people,0,-0.18078702808212158
closeup,1,0.09671438499939514
outdoor,0,-0.250405896939429
people,0,-0.16137961817358076
2,1,0.28178103669069104
1,0,-0.016598196644176222
U,1,0.0007982478451682329
indoor,0,-0.05695965052793654
closeup,1,0.06925576832876541
guys,0,-0.06935822073278075
love,1,0.04460544725527108
closeup,0,-0.05508438154868061
lol,0,-0.06444891401142153
flower,1,0.011818324812778688
people,0,-0.11284058051968245
2,1,0.27298945565450433
This,0,-0.09416322615880945
closeup,1,0.05012414171158042
Me,0,-0.13329786837914842
3,1,0.18301081470768155
person,0,-0.015742911898906614
great,1,0.015637885901474108
outdoor,0,-0.13727899533732937
u2019s,1,0.059486064897862644
people,0,-0.0797517524784967
girls,1,0.1143270370511677
indoor,0,-0.08295439503518184
s,1,0.10097949563977424
playing,0,-0.22312345116845878
look,1,0.11780865854104518
outdoor,0,-0.2017269318453185
1,0,-0.01696991143022795
moving,1,0.0009855187745094229
people,0,-0.06239064302667845
Cute,1,0.07661811382271996
pretty,0,-0.05103610906083493
2,1,0.15961180097958044
like,0,-0.10637295394907964
2,1,0.09112517311267491
outdoor,0,-0.43799995319854756
nature,1,0.049744786828950775
You,0,-0.05302669827369074
1,1,0.067404150802549
Man,0,-0.1871296396724525
beautiful,1,0.17700976564352042
standing,0,-0.08690265009496262
Miss,1,0.0332304554109369
people,0,-0.11939810816321803
Look,1,0.09706386146783458
hat,0,-0.3717474273841899
closeup,1,0.1257917625635269
cute,0,-0.054286328701971844
1,1,0.021681994190995174
person,0,-0.016912102199332875
come,1,0.0011399923610712769
man,0,-0.2759619858155673
You,1,0.08218920708981726
smile,0,-0.10856557339358576
beautiful,1,0.07753554655919417
me,0,-0.15365165544589807
3,1,0.17379232803867428
outdoor,0,-0.30596268830978157
nature,1,0.028752748743214672
That,0,-0.11423357838312759
Love,1,0.08856096839576216
person,0,-0.016655875599082593
Gorgeous,1,0.06492750617556428
hat,0,-0.5096506733766808
